moh_code,MRID
547011174,411001-0141-6401
541054415,541001-0122-2706
547064596,100701-0115-2713
540014248,480901-0104-2706
541014062,541105-0104-2706
545021119,651002-0122-6401
550014338,481501-0122-2706
550063685,290501-0401-0901
550013031,801503-0101-4001
541014096,541105-0122-2706
544011020,190501-0230-1501
550013025,801601-0101-5406
550038564,481112-0101-5406
550063728,340502-0101-0901
542024330,520107-0109-2701
541044314,542403-0130-2713
545064861,600102-0230-2713
548011128,110404-0222-6401
546025120,030402-0122-5901
540011229,480703-0104-2706
540021484,280207-0101-5201
545021325,650701-0122-6401
550063750,340103-0101-0901
540014255,480901-0204-2706
540014260,480806-0104-2706
541014063,541105-0204-2706
540052692,510508-0122-6401
550013424,800301-0130-5406
547014111,410109-0109-2706
545023266,580201-0122-5901
545051797,660105-0130-6201
540014256,480810-0104-2706
545071902,670601-0122-6401
550028510,010203-0101-5406
547034270,400502-0146-2713
545032620,681002-0130-5406
542014120,530401-0134-2715
546061515,060101-0122-6404
540041690,500301-0222-6401
540014265,481702-0122-2706
550063677,380103-0129-0901
548034580,170413-0501-2713
550063768,340306-0201-5603
545071900,670602-0222-6401
550014167,800606-0130-6003
546055442,310101-0101-0901
545051822,660107-0130-6201
541054402,543902-0130-2713
545024066,650404-0722-6401
550014165,800607-0130-5406
546081721,570201-0130-2701
548034598,170413-1001-2713
545022110,650305-0230-5406
550014462,801802-0301-5406
541064511,540418-0115-2713
550063746,340202-0301-4001
549086750,790101-0130-2713
544104750,220401-0130-2713
545031522,740104-0201-5406
541031204,410606-0130-3501
548034560,170413-0701-2713
540041701,500402-0122-6401
545021279,600402-0122-0401
544071513,210503-0130-3501
545021002,640102-0345-4301
545031599,680401-0122-2706
549066411,760303-0241-2601
551031160,110101-0141-0401
547014108,410301-0222-2701
